FIPS,County,State,ElderVulnerabilityIndex,SocioeconomicVulnerability,HouseholdCompositionDisability,MinorityStatusLanguage,HousingTransportation,Tier
8099,Prowers County,Colorado,0.89131,0.8183,0.965,0.8151,0.966,Tier 1: Critical
8101,Pueblo County,Colorado,0.80708,0.6914,0.8826,0.8686,0.8314,Tier 1: Critical
8103,Rio Blanco County,Colorado,0.49699000000000004,0.5177,0.5937,0.4871,0.4184,Tier 3: Moderate
8105,Rio Grande County,Colorado,0.7367900000000001,0.5463,0.9214,0.8616,0.721,Tier 2: High
8107,Routt County,Colorado,0.23759000000000002,0.1985,0.0395,0.4613,0.2596,Tier 4: Low
8109,Saguache County,Colorado,0.6066100000000001,0.8791,0.8177,0.7989,0.0652,Tier 2: High
8111,San Juan County,Colorado,0.41648999999999997,0.7595,0.2179,0.5501,0.1168,Tier 3: Moderate
8113,San Miguel County,Colorado,0.37322999999999995,0.3758,0.0509,0.4378,0.5425,Tier 3: Moderate
8115,Sedgwick County,Colorado,0.56683,0.5059,0.9831,0.5978,0.3296,Tier 2: High
8117,Summit County,Colorado,0.33158,0.2533,0.0095,0.5597,0.4725,Tier 3: Moderate
8119,Teller County,Colorado,0.17153,0.2256,0.0223,0.4416,0.0369,Tier 4: Low
8121,Washington County,Colorado,0.35575,0.2004,0.4928,0.4146,0.3805,Tier 3: Moderate
8123,Weld County,Colorado,0.57694,0.5269,0.5367,0.7391,0.5457,Tier 2: High
8125,Yuma County,Colorado,0.59809,0.8202,0.601,0.6475,0.3411,Tier 2: High
9110,Capitol Planning Region,Connecticut,0.59539,0.3952,0.427,0.7735,0.7891,Tier 2: High
9120,Greater Bridgeport Planning Region,Connecticut,0.7585999999999999,0.7391,0.5924,0.791,0.8673,Tier 1: Critical
9130,Lower Connecticut River Valley Planning Region,Connecticut,0.26186,0.1145,0.1467,0.5065,0.3229,Tier 3: Moderate
9140,Naugatuck Valley Planning Region,Connecticut,0.5669799999999999,0.4836,0.5746,0.7636,0.5142,Tier 2: High
